checkin_id	user_id	session_id	utc_time	timezone_offset	lat	lon	category	subcategory
25915736	1539	1539_AE_117	2013-02-06 17:46:30	-360	25.254118	55.30333	Food	Sushi Restaurant
22889371	1539	1539_AE_18	2012-11-11 12:29:30	-360	25.196387	55.280058	Outdoors & Recreation	Athletics & Sports
21089391	12021	12021_AE_1	2013-03-22 22:23:52	-180	25.219719	55.280236	Outdoors & Recreation	Scenic Lookout
19055908	12021	12021_AE_1	2013-03-22 22:25:40	-180	25.195058	55.278957	Food	French Restaurant
32211664	192383	192383_AE_21	2013-04-02 07:48:12	-180	25.161192	55.225976	Outdoors & Recreation	States & Municipalities
26150059	2652	2652_AE_1	2013-03-04 16:08:05	-180	25.259887	55.318197	Travel & Transport	Hotel
129652	2652	2652_AE_1	2013-03-04 16:09:51	-180	25.250421	55.357854	Travel & Transport	Airport
10825464	6672	6672_AE_1	2013-04-05 02:36:19	-180	25.197224	55.274202	Outdoors & Recreation	Scenic Lookout
16654414	6672	6672_AE_1	2013-04-05 02:36:54	-180	25.16546	55.21054	Outdoors & Recreation	Beach
14084508	80116	80116_AE_8	2012-04-21 13:19:18	120	25.173485	55.369506	Shop & Service	Automotive Shop
16436454	175246	175246_AE_3	2012-07-04 19:25:38	180	25.245126	55.360253	Travel & Transport	Airport
17778489	37701	37701_AE_1	2012-06-06 13:08:23	180	25.213881	55.276626	Travel & Transport	Hotel
6252213	37701	37701_AE_1	2012-06-06 15:03:46	180	25.197	55.279491	Shop & Service	Mall
6253238	100521	100521_AE_3	2013-02-27 16:55:11	240	25.197	55.279491	Shop & Service	Mall
10531538	100521	100521_AE_3	2013-02-27 19:06:36	240	25.196981	55.274277	Professional & Other Places	Building
13800239	100572	100572_AE_10	2013-01-05 04:27:36	240	24.48601	54.364323	Professional & Other Places	Building
16314355	100572	100572_AE_10	2013-01-05 04:28:03	240	24.486089	54.364419	Professional & Other Places	Office
9106590	100572	100572_AE_10	2013-01-05 08:18:55	240	24.4751	54.374048	Residence	Home (private)
16314356	100572	100572_AE_10	2013-01-05 12:15:51	240	24.486089	54.364419	Professional & Other Places	Office
9106592	100572	100572_AE_11	2013-01-06 02:56:27	240	24.4751	54.374048	Residence	Home (private)
9106593	100572	100572_AE_11	2013-01-06 08:35:53	240	24.4751	54.374048	Residence	Home (private)
13800240	100572	100572_AE_11	2013-01-06 09:09:50	240	24.48601	54.364323	Professional & Other Places	Building
16314357	100572	100572_AE_11	2013-01-06 09:10:17	240	24.486089	54.364419	Professional & Other Places	Office
16314358	100572	100572_AE_12	2013-01-07 03:56:54	240	24.486089	54.364419	Professional & Other Places	Office
9106594	100572	100572_AE_12	2013-01-07 09:04:59	240	24.4751	54.374048	Residence	Home (private)
16314359	100572	100572_AE_12	2013-01-07 09:20:11	240	24.486089	54.364419	Professional & Other Places	Office
9106595	100572	100572_AE_12	2013-01-07 14:45:23	240	24.4751	54.374048	Residence	Home (private)
13800241	100572	100572_AE_13	2013-01-08 03:45:38	240	24.48601	54.364323	Professional & Other Places	Building
9106597	100572	100572_AE_13	2013-01-08 08:14:42	240	24.4751	54.374048	Residence	Home (private)
13800242	100572	100572_AE_14	2013-01-09 03:47:43	240	24.48601	54.364323	Professional & Other Places	Building
16314360	100572	100572_AE_14	2013-01-09 03:47:52	240	24.486089	54.364419	Professional & Other Places	Office
13800243	100572	100572_AE_14	2013-01-09 09:08:30	240	24.48601	54.364323	Professional & Other Places	Building
16314361	100572	100572_AE_14	2013-01-09 09:08:41	240	24.486089	54.364419	Professional & Other Places	Office
13800245	100572	100572_AE_18	2013-01-13 03:45:49	240	24.48601	54.364323	Professional & Other Places	Building
9106604	100572	100572_AE_18	2013-01-13 08:55:39	240	24.4751	54.374048	Residence	Home (private)
16314362	100572	100572_AE_18	2013-01-13 09:23:52	240	24.486089	54.364419	Professional & Other Places	Office
13800246	100572	100572_AE_19	2013-01-14 03:54:41	240	24.48601	54.364323	Professional & Other Places	Building
16314363	100572	100572_AE_19	2013-01-14 03:54:50	240	24.486089	54.364419	Professional & Other Places	Office
9106606	100572	100572_AE_19	2013-01-14 08:53:07	240	24.4751	54.374048	Residence	Home (private)
13800247	100572	100572_AE_19	2013-01-14 09:09:59	240	24.48601	54.364323	Professional & Other Places	Building
16117797	100572	100572_AE_2	2012-12-27 13:32:57	240	24.47008	54.351726	Shop & Service	Mall
9106579	100572	100572_AE_2	2012-12-27 15:54:26	240	24.4751	54.374048	Residence	Home (private)
9106607	100572	100572_AE_21	2013-01-16 09:05:04	240	24.4751	54.374048	Residence	Home (private)
16314365	100572	100572_AE_21	2013-01-16 09:31:38	240	24.486089	54.364419	Professional & Other Places	Office
30797506	100572	100572_AE_22	2013-01-17 11:03:57	240	24.477904	54.379033	Professional & Other Places	School
9106610	100572	100572_AE_22	2013-01-17 11:33:27	240	24.4751	54.374048	Residence	Home (private)
30926091	100572	100572_AE_24	2013-01-25 11:55:47	240	24.475968	54.322019	Shop & Service	Cosmetics Shop
30926371	100572	100572_AE_24	2013-01-25 12:01:29	240	24.4761	54.321139	Shop & Service	Clothing Store
30926421	100572	100572_AE_24	2013-01-25 12:03:27	240	24.473049	54.323144	Shop & Service	Gift Shop
30929681	100572	100572_AE_24	2013-01-25 13:39:38	240	24.475978	54.320912	Shop & Service	Mall
9106616	100572	100572_AE_25	2013-01-26 09:05:32	240	24.4751	54.374048	Residence	Home (private)
30963206	100572	100572_AE_25	2013-01-26 14:46:08	240	24.488102	54.360127	Residence	Residential Building (Apartment / Condo)
30978426	100572	100572_AE_26	2013-01-27 06:07:54	240	24.490276	54.363602	Professional & Other Places	Medical Center
29705468	100572	100572_AE_26	2013-01-27 06:23:49	240	24.487878	54.36027	Professional & Other Places	Medical Center
9106618	100572	100572_AE_26	2013-01-27 07:47:13	240	24.4751	54.374048	Residence	Home (private)
6252854	100572	100572_AE_3	2012-12-28 12:08:55	240	25.197	55.279491	Shop & Service	Mall
21966583	100572	100572_AE_3	2012-12-28 13:27:10	240	25.195023	55.278152	Food	Pizza Place
9106580	100572	100572_AE_3	2012-12-28 18:05:50	240	24.4751	54.374048	Residence	Home (private)
13800249	100572	100572_AE_30	2013-02-03 04:07:04	240	24.48601	54.364323	Professional & Other Places	Building
16314366	100572	100572_AE_30	2013-02-03 04:07:13	240	24.486089	54.364419	Professional & Other Places	Office
9106623	100572	100572_AE_31	2013-02-04 13:21:16	240	24.4751	54.374048	Residence	Home (private)
16117805	100572	100572_AE_31	2013-02-04 14:33:07	240	24.47008	54.351726	Shop & Service	Mall
31211105	100572	100572_AE_32	2013-02-05 13:34:29	240	24.486189	54.369053	Professional & Other Places	Medical Center
31212211	100572	100572_AE_32	2013-02-05 14:38:37	240	24.479435	54.37042	Food	Bakery
9106625	100572	100572_AE_32	2013-02-05 16:17:05	240	24.4751	54.374048	Residence	Home (private)
13800250	100572	100572_AE_35	2013-02-11 04:00:54	240	24.48601	54.364323	Professional & Other Places	Building
16314367	100572	100572_AE_35	2013-02-11 04:01:07	240	24.486089	54.364419	Professional & Other Places	Office
31346415	100572	100572_AE_37	2013-02-12 14:11:26	240	24.475801	54.320456	Shop & Service	Cosmetics Shop
31346606	100572	100572_AE_37	2013-02-12 14:18:41	240	24.470439	54.352008	Food	Fried Chicken Joint
13800251	100572	100572_AE_38	2013-02-13 03:53:54	240	24.48601	54.364323	Professional & Other Places	Building
16314368	100572	100572_AE_38	2013-02-13 03:54:01	240	24.486089	54.364419	Professional & Other Places	Office
13800253	100572	100572_AE_42	2013-02-17 03:47:55	240	24.48601	54.364323	Professional & Other Places	Building
16314369	100572	100572_AE_42	2013-02-17 03:48:11	240	24.486089	54.364419	Professional & Other Places	Office
13800256	100572	100572_AE_44	2013-03-06 06:06:46	240	24.48601	54.364323	Professional & Other Places	Building
16314371	100572	100572_AE_44	2013-03-06 06:07:06	240	24.486089	54.364419	Professional & Other Places	Office
13800257	100572	100572_AE_45	2013-03-07 03:57:17	240	24.48601	54.364323	Professional & Other Places	Building
16314372	100572	100572_AE_45	2013-03-07 03:57:50	240	24.486089	54.364419	Professional & Other Places	Office
29883073	100572	100572_AE_47	2013-03-12 13:47:38	240	24.434411	54.413001	Food	Thai Restaurant
31848394	100572	100572_AE_47	2013-03-12 14:49:13	240	24.434414	54.41307	Shop & Service	Gift Shop
31848701	100572	100572_AE_47	2013-03-12 15:15:53	240	24.434398	54.413075	Shop & Service	Bank
13800259	100572	100572_AE_48	2013-03-14 03:59:24	240	24.48601	54.364323	Professional & Other Places	Building
16314374	100572	100572_AE_48	2013-03-14 03:59:45	240	24.486089	54.364419	Professional & Other Places	Office
16314352	100572	100572_AE_7	2013-01-02 05:09:16	240	24.486089	54.364419	Professional & Other Places	Office
9106586	100572	100572_AE_7	2013-01-02 08:15:11	240	24.4751	54.374048	Residence	Home (private)
